% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Apr 12 2026, 11:47
% Dimension:          1
% Nodes:              31
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -5.204360874076242       -2.446617661645722
3.2E11                    -5.897551489240362       -2.0183761725436824
3.4E11                    -6.629924133640507       -1.975725214615317
3.6E11                    -7.424441037710286       -1.532983656022355
3.8E11                    -8.244473778876541       -1.499490849583192
4.0E11                    -10.153316235818792      -1.0143892765780045
4.2E11                    -11.559545990137877      -0.8928324927552401
4.4E11                    -12.475386730406106      -1.0305087661508239
4.6E11                    -14.551794404668204      -0.6330399412484583
4.8E11                    -13.625252126175793      -0.6947324976843822
5.0E11                    -11.709163968544207      -0.6474403759798132
5.2E11                    -9.29605040187892        -0.790039514564113
5.4E11                    -9.174683149989871       -0.833544006924959
5.6E11                    -7.299784267570082       -1.025867595804416
5.8E11                    -6.1082137074186384      -1.2904280906567578
6.0E11                    -5.300905437080776       -1.409460376204772
6.2E11                    -4.824778015138035       -1.6357561413779238
6.4E11                    -4.14810814421779        -2.0933150266173377
6.6E11                    -4.061088958398786       -2.251696435673015
6.8E11                    -3.9667890208602796      -2.293998389331405
7.0E11                    -3.7097808049766625      -2.627311364273477
7.2E11                    -3.1877807829690314      -2.667643219085862
7.4E11                    -3.1068844204479333      -2.6188149287783307
7.6E11                    -2.913042929900188       -2.9283659255104766
7.8E11                    -3.062567085181783       -2.7452365610771428
8.0E11                    -2.797876136675588       -2.659779071525576
8.2E11                    -2.7647369077084134      -3.0715257852444946
8.4E11                    -2.6576717164189327      -2.979860743144566
8.6E11                    -2.756096978128127       -2.9776222967840935
8.8E11                    -2.6342762025448128      -3.097209713062481
9.0E11                    -2.7536567201300106      -3.3895894003161304
