% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 30 2026, 11:10
% Dimension:          1
% Nodes:              24
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.2E11                    -5.544576655131987       -2.147844758489309
2.4E11                    -6.329375935123034       -1.8823522782073114
2.6E11                    -7.37194493575021        -1.5966219145426332
2.8E11                    -8.290285027445494       -1.5317883698968568
3.0E11                    -10.084961570957384      -1.1434969028729425
3.2E11                    -11.532574610499669      -1.0419868193547963
3.4E11                    -13.182614294806145      -0.8867433694655851
3.6E11                    -13.16114213536113       -0.7987488410133846
3.8E11                    -12.308416284432216      -0.7724434736198288
4.0E11                    -10.516176474078652      -1.0520937120424676
4.2E11                    -9.156338790598602       -1.1952202049849407
4.4E11                    -8.17206149173163        -2.0718005943911137
4.6E11                    -6.787011905011838       -1.4433565703501343
4.8E11                    -5.963548992989765       -1.4663391013104774
5.0E11                    -5.560256746180449       -1.791061369662489
5.2E11                    -4.551916326135258       -1.9452740656639145
5.4E11                    -4.232842738452465       -2.08142215499722
5.6E11                    -3.7725304873332837      -2.3233263820731156
5.8E11                    -3.585763540358013       -2.3761260422708634
6.0E11                    -3.443307044330874       -2.8809579453790297
6.2E11                    -3.27781318881448        -2.6162941523808274
6.4E11                    -2.96222399446937        -2.8780857184304094
6.6E11                    -2.804117597079254       -2.9341807095364008
6.8E11                    -2.7504190839891676      -2.969215437794019
