% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Apr 13 2026, 07:03
% Dimension:          1
% Nodes:              29
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.4E11                    -5.479194981719409       -2.086602025224776
2.6E11                    -6.225474793339695       -1.772537645513814
2.8E11                    -7.049752914517447       -1.5503810505351143
3.0E11                    -7.959268704119138       -1.787073945388932
3.2E11                    -9.751295316879467       -1.021214905744407
3.4E11                    -11.899345089469076      -0.7796680737760809
3.6E11                    -14.312191962250413      -0.651321358747956
3.8E11                    -15.604530683159295      -0.6368097434989395
4.0E11                    -14.247962620012755      -0.9392721394892081
4.2E11                    -12.9648614283578        -0.558579473500926
4.4E11                    -10.789540552274834      -0.725063142458689
4.6E11                    -8.686484790842114       -1.0102862736745195
4.8E11                    -7.7231725348380085      -0.9225574698233558
5.0E11                    -6.207306425830488       -1.2592917977672244
5.2E11                    -5.484471699249673       -1.3797240084772695
5.4E11                    -4.815501502666386       -1.5793268438499024
5.6E11                    -4.238135031903798       -1.8184440193549798
5.8E11                    -4.079014568136378       -2.002382826745454
6.0E11                    -3.7845506069105195      -2.227886013240447
6.2E11                    -3.7933507197065985      -2.0990938050817047
6.4E11                    -3.5156510086529287      -2.3039041030514498
6.6E11                    -2.937404236904055       -2.6634281755091194
6.8E11                    -2.9219699615913286      -2.753773569360764
7.0E11                    -2.7746986170337067      -2.9618682963467178
7.2E11                    -2.970408042236543       -3.135668109805123
7.4E11                    -2.7489204441015467      -2.917571335969787
7.6E11                    -2.554230243175448       -3.1536489664739924
7.8E11                    -2.6637645358270685      -2.856240887109238
8.0E11                    -2.4866144200942584      -3.294312469564782
