% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Apr 13 2026, 07:05
% Dimension:          1
% Nodes:              29
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.4E11                    -5.15063355592177        -2.2115556455177208
2.6E11                    -5.790774043031983       -1.906698958491322
2.8E11                    -6.499123695818938       -1.7180679881768621
3.0E11                    -7.334873360998921       -1.5205734377036433
3.2E11                    -9.032107941075418       -1.3641733495021713
3.4E11                    -10.44408835899873       -1.133734083306168
3.6E11                    -12.516486818737524      -0.8842755195401325
3.8E11                    -14.633904607028699      -0.6995680534732036
4.0E11                    -15.156023727022902      -0.5892674736767791
4.2E11                    -14.044013125185241      -0.7106404073314974
4.4E11                    -11.032477867743918      -0.6762178392418939
4.6E11                    -8.63633940698945        -1.2592241873287606
4.8E11                    -7.92357784830794        -0.9475700106269348
5.0E11                    -7.014651678358469       -2.0336459893538756
5.2E11                    -5.642509712830014       -1.3921218256558334
5.4E11                    -5.088350199007579       -1.604492541546059
5.6E11                    -4.455375997535246       -2.2814918116330327
5.8E11                    -4.424546745359387       -2.638313831989735
6.0E11                    -3.772433174363819       -2.6202168767461687
6.2E11                    -3.364451094853157       -3.0122549730676145
6.4E11                    -3.8246110665090387      -3.1654538324299115
6.6E11                    -3.872208760421282       -2.8019468222962756
6.8E11                    -2.7164682679491916      -3.848749832230914
7.0E11                    -3.372305343514302       -2.6398582307382927
7.2E11                    -3.026082402637191       -3.3263072299078327
7.4E11                    -3.987141315432401       -4.4357043587426315
7.6E11                    -2.796310429358881       -3.029473669135687
7.8E11                    -2.837630498965093       -3.154891980437131
8.0E11                    -2.8223135517077913      -3.275900067788877
