% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Apr 12 2026, 11:45
% Dimension:          1
% Nodes:              31
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -4.771692808435656       -2.719328680738645
3.2E11                    -5.195179354184294       -2.4429347543187596
3.4E11                    -5.772206423618541       -2.023742123395315
3.6E11                    -6.428537296496736       -1.8300658690267466
3.8E11                    -7.290873447051963       -1.7728397002395502
4.0E11                    -8.938485437840392       -1.5447959966975127
4.2E11                    -9.645792604470907       -1.3529594020553097
4.4E11                    -11.321750162430003      -1.069344595964022
4.6E11                    -12.945007828658856      -0.7915421578673503
4.8E11                    -14.373123259978957      -0.7656336688433967
5.0E11                    -12.439872582349247      -0.6869586514014456
5.2E11                    -10.764736873234186      -0.9095205167363933
5.4E11                    -8.129779527163976       -0.9830658478351613
5.6E11                    -9.569919458035326       -1.186373689577201
5.8E11                    -7.699317720811811       -1.2515728951050606
6.0E11                    -7.125640416174516       -1.4419453331781682
6.2E11                    -5.5872631947851055      -1.8996104329576453
6.4E11                    -5.314910256632927       -2.172257835339264
6.6E11                    -4.400971623352292       -2.185645734028331
6.8E11                    -3.962383706025358       -2.021860605404349
7.0E11                    -3.8849752901349377      -2.944348445002811
7.2E11                    -3.6910508527702524      -2.4686914848822687
7.4E11                    -3.610831571138793       -2.6819946416682416
7.6E11                    -3.123203950139799       -3.035024959237985
7.8E11                    -2.864713417409735       -2.807100426445956
8.0E11                    -2.7407867218945565      -2.9365072724312524
8.2E11                    -3.080810578989601       -3.3964508489093834
8.4E11                    -2.6756240199026493      -2.9273492476366805
8.6E11                    -2.605461280020424       -3.1455664264183487
8.8E11                    -2.534947534671926       -3.071057413116943
9.0E11                    -2.828451938584319       -2.6266854083246933
